import_run_id,candidate_run_id,source_reference_id,source_page,source_slot,proposed_product_id,business_line,product_name,brand_id,brand_name,category_id,category_name,sale_price,image_sha256,proposed_sku,proposed_catalog_code,proposed_slug,sku_resolution_status,catalog_code_resolution_status,slug_resolution_status,legacy_match_status,eligibility_status
388a459d-f3f9-4709-88b5-b025dac28ba2,d4d17a39-008d-4bcc-88b2-384cc147e262,CATV1-P014-R2R,14,R2R,61bc50dd-6cba-f55f-f1a2-f2219970869d,BEAUTY_CARE,MANTEQUILLA CORPORAL,03a73a7c-1a85-4429-b459-c68ad93c9664,D'Luchi,,,51000,3923a45ec2bcbf7638db45772081c19258431209f1d42d0bde798cd685762de9,BC-10010,BCV5-0011,beauty-care-mantequilla-corporal,RESERVED_IMPORT_RANGE,GENERATED_CANONICAL_SOURCE_CODE,DETERMINISTIC_CANONICAL,NO_AUTHORITATIVE_MATCH,READY_CREATE
388a459d-f3f9-4709-88b5-b025dac28ba2,d4d17a39-008d-4bcc-88b2-384cc147e262,CATV1-P014-R3L,14,R3L,bed93775-472c-ef57-b6b0-a76411426d59,BEAUTY_CARE,GEL DE ALOE VERA,03a73a7c-1a85-4429-b459-c68ad93c9664,D'Luchi,,,51000,05efd58a869e7975f046361145c4ba39b3774da981a8893ded77a5eb38497739,BC-10011,BCV5-0012,beauty-care-gel-de-aloe-vera,RESERVED_IMPORT_RANGE,GENERATED_CANONICAL_SOURCE_CODE,DETERMINISTIC_CANONICAL,NO_AUTHORITATIVE_MATCH,READY_CREATE
388a459d-f3f9-4709-88b5-b025dac28ba2,d4d17a39-008d-4bcc-88b2-384cc147e262,CATV1-P014-R3R,14,R3R,3f024dc4-5e4d-cdff-7414-7104d853e55e,BEAUTY_CARE,BRONCEADOR EN GEL,03a73a7c-1a85-4429-b459-c68ad93c9664,D'Luchi,,,51000,54fc84ba0553539c26ce535f6579fb090b94d878d9dc5176910df4937afea82a,BC-10012,BCV5-0013,beauty-care-bronceador-en-gel,RESERVED_IMPORT_RANGE,GENERATED_CANONICAL_SOURCE_CODE,DETERMINISTIC_CANONICAL,NO_AUTHORITATIVE_MATCH,READY_CREATE
388a459d-f3f9-4709-88b5-b025dac28ba2,d4d17a39-008d-4bcc-88b2-384cc147e262,CATV1-P015-R1L,15,R1L,93ad9283-dfd5-9764-d0b4-2132e4fce790,BEAUTY_CARE,FRESHING POP,03a73a7c-1a85-4429-b459-c68ad93c9664,D'Luchi,,,51000,f8e87d7d5073f3fdcab9435b8bce3b435505091d294b4da7ab3dcc67e7f4d7cc,BC-10013,BCV5-0014,beauty-care-freshing-pop,RESERVED_IMPORT_RANGE,GENERATED_CANONICAL_SOURCE_CODE,DETERMINISTIC_CANONICAL,NO_AUTHORITATIVE_MATCH,READY_CREATE
388a459d-f3f9-4709-88b5-b025dac28ba2,d4d17a39-008d-4bcc-88b2-384cc147e262,CATV1-P015-R1R,15,R1R,3a97b778-2db1-da3b-3917-0301ee437937,BEAUTY_CARE,AUTOBRONCEADOR,03a73a7c-1a85-4429-b459-c68ad93c9664,D'Luchi,,,56000,28fd233f865189e6ef1743a55aef146779a5cbb69744bf47048a472ae9195907,BC-10014,BCV5-0015,beauty-care-autobronceador,RESERVED_IMPORT_RANGE,GENERATED_CANONICAL_SOURCE_CODE,DETERMINISTIC_CANONICAL,NO_AUTHORITATIVE_MATCH,READY_CREATE
388a459d-f3f9-4709-88b5-b025dac28ba2,d4d17a39-008d-4bcc-88b2-384cc147e262,CATV1-P015-R2L,15,R2L,407c5d77-279c-bc3c-8dfc-02f04e1b08a8,BEAUTY_CARE,BLOQUEADOR,03a73a7c-1a85-4429-b459-c68ad93c9664,D'Luchi,,,56000,0c05df2418e1391a4b58ce5fb71088f1308ad7e74374fba2e2089e044191802f,BC-10015,BCV5-0016,beauty-care-bloqueador,RESERVED_IMPORT_RANGE,GENERATED_CANONICAL_SOURCE_CODE,DETERMINISTIC_CANONICAL,NO_AUTHORITATIVE_MATCH,READY_CREATE
388a459d-f3f9-4709-88b5-b025dac28ba2,d4d17a39-008d-4bcc-88b2-384cc147e262,CATV1-P015-R2R,15,R2R,20157dcb-5b42-3ba6-dcfd-c1bc84cfb0bf,BEAUTY_CARE,BRONCEADOR DE CHOCOLATE Y MIEL,03a73a7c-1a85-4429-b459-c68ad93c9664,D'Luchi,,,61000,cf10f2c64cd311475e87c266ca77e4fa9e21181f6ecd5fdffc5659dcece311a4,BC-10016,BCV5-0017,beauty-care-bronceador-de-chocolate-y-miel,RESERVED_IMPORT_RANGE,GENERATED_CANONICAL_SOURCE_CODE,DETERMINISTIC_CANONICAL,NO_AUTHORITATIVE_MATCH,READY_CREATE
388a459d-f3f9-4709-88b5-b025dac28ba2,d4d17a39-008d-4bcc-88b2-384cc147e262,CATV1-P015-R3L,15,R3L,5506f491-2b39-a6ca-7862-bc61d8bee1fb,BEAUTY_CARE,BRONCEADOR AUTOBRONCEADORA,03a73a7c-1a85-4429-b459-c68ad93c9664,D'Luchi,,,71000,faf866a560417a35f0c182423dd8cff548b59b91ee237747eef6f44ea3f31990,BC-10017,BCV5-0018,beauty-care-bronceador-autobronceadora,RESERVED_IMPORT_RANGE,GENERATED_CANONICAL_SOURCE_CODE,DETERMINISTIC_CANONICAL,NO_AUTHORITATIVE_MATCH,READY_CREATE
388a459d-f3f9-4709-88b5-b025dac28ba2,d4d17a39-008d-4bcc-88b2-384cc147e262,CATV1-P025-R2L,25,R2L,120c7dcb-d1b7-1851-0377-44dd0be9c69b,BEAUTY_CARE,PROFESIONAL LISO EN CASA,93f65203-1aaf-405d-9c6d-9e4c46b9b936,Anyeluz,,,71000,25b5a1fd4b40c39f1d7a39599ec696258a64259d930ca5e3b6facac7e8539f82,BC-10018,BCV5-0019,beauty-care-profesional-liso-en-casa-p025-r2l,RESERVED_IMPORT_RANGE,GENERATED_CANONICAL_SOURCE_CODE,DETERMINISTIC_CANONICAL,NO_AUTHORITATIVE_MATCH,READY_CREATE
388a459d-f3f9-4709-88b5-b025dac28ba2,d4d17a39-008d-4bcc-88b2-384cc147e262,CATV1-P025-R2R,25,R2R,8b044835-3919-3561-5e40-04ffa4c3379c,BEAUTY_CARE,PROFESIONAL LISO EN CASA,93f65203-1aaf-405d-9c6d-9e4c46b9b936,Anyeluz,,,71000,fd0601bab61f16fdf6db1dfb7cca9a3c426668f314eed48fa4e250609bca74c8,BC-10019,BCV5-0020,beauty-care-profesional-liso-en-casa-p025-r2r,RESERVED_IMPORT_RANGE,GENERATED_CANONICAL_SOURCE_CODE,DETERMINISTIC_CANONICAL,NO_AUTHORITATIVE_MATCH,READY_CREATE
388a459d-f3f9-4709-88b5-b025dac28ba2,d4d17a39-008d-4bcc-88b2-384cc147e262,CATV1-P028-R3R,28,R3R,f61131a0-dd0d-126f-2b9a-146a3c91108b,BEAUTY_CARE,SHAMPOO BIOREPO,7d7ace64-4b5a-46ff-99e8-ffe658fe617f,Milagros,,,36900,f917ae7b7949f2efb13eb0a647480658d8d26ee8902acd60d629b581f2a4ef7d,BC-10020,BCV5-0021,beauty-care-shampoo-biorepo,RESERVED_IMPORT_RANGE,GENERATED_CANONICAL_SOURCE_CODE,DETERMINISTIC_CANONICAL,NO_AUTHORITATIVE_MATCH,READY_CREATE
388a459d-f3f9-4709-88b5-b025dac28ba2,d4d17a39-008d-4bcc-88b2-384cc147e262,CATV1-P029-R2L,29,R2L,581e8a17-179a-3be2-b149-4505f1c439c6,BEAUTY_CARE,SERUM MILAGROS,7d7ace64-4b5a-46ff-99e8-ffe658fe617f,Milagros,,,37000,a0d8dd8c3c03136abf5951b89a9a76a6d404e38dca0bbb6df81087344e5a0b27,BC-10021,BCV5-0022,beauty-care-serum-milagros-p029-r2l,RESERVED_IMPORT_RANGE,GENERATED_CANONICAL_SOURCE_CODE,DETERMINISTIC_CANONICAL,NO_AUTHORITATIVE_MATCH,READY_CREATE
388a459d-f3f9-4709-88b5-b025dac28ba2,d4d17a39-008d-4bcc-88b2-384cc147e262,CATV1-P032-R3R,32,R3R,ae76e9de-4e92-1649-bb0c-725060f41f04,BEAUTY_CARE,SERUM MILAGROS,7d7ace64-4b5a-46ff-99e8-ffe658fe617f,Milagros,,,47000,fa5e440bbed40a5095a7b0b2c9426f1817f0caefb753ac772844862159859489,BC-10022,BCV5-0023,beauty-care-serum-milagros-p032-r3r,RESERVED_IMPORT_RANGE,GENERATED_CANONICAL_SOURCE_CODE,DETERMINISTIC_CANONICAL,NO_AUTHORITATIVE_MATCH,READY_CREATE
388a459d-f3f9-4709-88b5-b025dac28ba2,d4d17a39-008d-4bcc-88b2-384cc147e262,CATV1-P037-R1L,37,R1L,61ecc5ff-e9cd-fb24-4cbc-fe8cc3c7a042,BEAUTY_CARE,SHAMPOO MIEL,7bcd850b-f2c6-447e-8b80-bb0796deb9df,Click Hair,,,47000,76227161fc14de8bbeb8e0bd885bdb58d0d53cba9d9c0d4177078971d234280f,BC-10023,BCV5-0024,beauty-care-shampoo-miel,RESERVED_IMPORT_RANGE,GENERATED_CANONICAL_SOURCE_CODE,DETERMINISTIC_CANONICAL,NO_AUTHORITATIVE_MATCH,READY_CREATE
388a459d-f3f9-4709-88b5-b025dac28ba2,d4d17a39-008d-4bcc-88b2-384cc147e262,CATV1-P037-R2L,37,R2L,2eb43dee-15e9-b274-2a66-760bdbdf55d0,BEAUTY_CARE,MASCARILLA MIEL,7bcd850b-f2c6-447e-8b80-bb0796deb9df,Click Hair,,,52900,819be1abcaa172865eab8ac0349def6a144714a1e66c54a0b11806c8f5ac4b9f,BC-10024,BCV5-0025,beauty-care-mascarilla-miel,RESERVED_IMPORT_RANGE,GENERATED_CANONICAL_SOURCE_CODE,DETERMINISTIC_CANONICAL,NO_AUTHORITATIVE_MATCH,READY_CREATE
388a459d-f3f9-4709-88b5-b025dac28ba2,d4d17a39-008d-4bcc-88b2-384cc147e262,CATV1-P039-R1L,39,R1L,21cbd5f9-3b28-0056-fd0e-1f54657eec4f,BEAUTY_CARE,ACONDI CLICK,7bcd850b-f2c6-447e-8b80-bb0796deb9df,Click Hair,,,45900,b668f67e7c6af649b7abc1630d500aa806ce33cdbf6b285b78296140eca73078,BC-10025,BCV5-0026,beauty-care-acondi-click,RESERVED_IMPORT_RANGE,GENERATED_CANONICAL_SOURCE_CODE,DETERMINISTIC_CANONICAL,NO_AUTHORITATIVE_MATCH,READY_CREATE
388a459d-f3f9-4709-88b5-b025dac28ba2,d4d17a39-008d-4bcc-88b2-384cc147e262,CATV1-P040-R1R,40,R1R,6e9b5e9e-4140-0426-9004-8fd41ea5ccb7,BEAUTY_CARE,ACONDI MIEL,7bcd850b-f2c6-447e-8b80-bb0796deb9df,Click Hair,,,45900,07b957818f0c0ce588550c549ba43d72933197f23445b3673d566dd656cbe354,BC-10026,BCV5-0027,beauty-care-acondi-miel,RESERVED_IMPORT_RANGE,GENERATED_CANONICAL_SOURCE_CODE,DETERMINISTIC_CANONICAL,NO_AUTHORITATIVE_MATCH,READY_CREATE
388a459d-f3f9-4709-88b5-b025dac28ba2,d4d17a39-008d-4bcc-88b2-384cc147e262,CATV1-P040-R2L,40,R2L,a77c93b3-d070-f8ac-b806-6b2139dcf838,BEAUTY_CARE,PERFUME MASHMELLOW,7bcd850b-f2c6-447e-8b80-bb0796deb9df,Click Hair,,,60900,0ca99cede5f6d2c292d090942c776c6a9f7729e47fe8dc774817dbd7f0e11650,BC-10027,BCV5-0028,beauty-care-perfume-mashmellow,RESERVED_IMPORT_RANGE,GENERATED_CANONICAL_SOURCE_CODE,DETERMINISTIC_CANONICAL,NO_AUTHORITATIVE_MATCH,READY_CREATE
388a459d-f3f9-4709-88b5-b025dac28ba2,d4d17a39-008d-4bcc-88b2-384cc147e262,CATV1-P073-R2R,73,R2R,632222d9-3bc7-34ea-826e-5a9a280b3fdc,BEAUTY_CARE,PRINCESAS,0d5fd0dc-2e4c-4e77-bb0a-879997df316d,Cosmos,,,33000,03a5ca7d982e6fec3d3fc52b6b46bc96cfd5df7548ff371114082290e25ed010,BC-10028,BCV5-0029,beauty-care-princesas-p073-r2r,RESERVED_IMPORT_RANGE,GENERATED_CANONICAL_SOURCE_CODE,DETERMINISTIC_CANONICAL,NO_AUTHORITATIVE_MATCH,READY_CREATE
